state_id,village_id,state,district_id,district,village_name,hhid,age,household_count,minc_no,minc_farm,minc_animal,minc_labor,minc_cons,minc_self,minc_rent,minc_govt,minc_tch,minc_tchpvt,minc_ttn,minc_pnsn,minc_shop,minc_army,minc_othself,minc_dead,minc_out,minc_oth,minc_refuse,minc_pri,minc_reg,minc_month,finc_no,finc_farm,finc_animal,finc_labor,finc_cons,finc_self,finc_rent,finc_govt,finc_tch,finc_tchpvt,finc_ttn,finc_pnsn,finc_shop,finc_army,finc_othself,finc_dead,finc_out,finc_oth,finc_refuse,finc_pri,finc_reg,finc_month,npinc_out,mot_save,fath_save,child_save,oth_save,no_save,land_hectare,land_acre,land_bigha,land_kattha,land_oth_unit,land_oth_unit_spec,land_dontknw,eng_farm,tap,toilet,pri_govt_sch,starttime,duration,endtime,submissiondate,KEY,team_id,bcer_id,bcer_name,minc_count
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-023,48,23,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,No,1,,,,,,,,5,,,,Yes,,No,Yes,,12140,,,uuid:3qn4wy33-358s-180u-49c6-z27020aw302v970r996c-9554-u5y6-b8y5-9q761020n5c7,1,16,Priya Sharma,0
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-023,30,7,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,,,,,1,,,,,,,,,,,,,,,"Non-agricultural labor, incl construction and masonry",Monthly,7-12 months,No,,,,,1,,,,7,,,,Yes,,No,Yes,,6367,,,uuid:8jp5py15-022l-865t-91b4-b38475ba664s743k300b-4100-q0v5-x0w9-5y506622d1b7,4,46,Rohit Kumar,2
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-024,30,6,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,,1,,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,No,1,,,,,,,1,,,,,Yes,,No,Yes,,5566,,,uuid:8gv0rs99-462t-021m-10b1-o47835oi657p670y540y-5839-v3s2-f3o2-0e269478r2g9,1,16,Priya Sharma,2
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-059,51,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Businessman/Trader/shopkeeper,Daily wages,3-6 months,No,,,,,1,,,,10,,,,Yes,,Yes,Yes,,6328,,,uuid:1zt5yf34-334n-395m-76s0-y65812sb678d387i499c-2649-b0a2-f1g7-9o983722z3d1,5,56,Anitha Nair,0
AN,AN043,Anantapur,AN043,Uravakonda,Kothacheruvu,AN043-020,28,7,,,1,,,,,,,,,,,,,,,,,Animal husbandry,Irreguluar,7-12 months,,,,,1,,,,,,,,,,,,,,,"Non-agricultural labor, incl construction and masonry",Daily wages,7-12 months,No,,,,,1,,,,,,,,No,,No,Yes,,5136,,,uuid:4ba7jj22-430t-800t-73e2-h88162ob558r776s561c-8257-b5b4-m5q7-7p379277x6y1,1,16,Priya Sharma,1
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-004,35,10,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,0-2 months,,1,1,,,,,,1,,,,,,,,,,,Teacher in a government school,Monthly,7-12 months,No,,,,,1,,,,4,,,,Yes,,No,Yes,,2198,,,uuid:8bc8bp77-990z-866a-29u2-c48093gt437i739t639f-9951-z2i7-n1z8-4u230807o1n2,1,16,Priya Sharma,1
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-069,32,9,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,7-12 months,,,,1,1,,,,,,,,1,,,,,,,Businessman/Trader/shopkeeper,Daily wages,7-12 months,No,,1,,,,,,,,,,,Yes,,No,Yes,,5133,,,uuid:5nz7yc00-507d-225i-30z0-r52852ag019q105m382k-1696-v8l3-e6l6-9u304181x4j2,5,56,Anitha Nair,1
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-044,35,6,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,Yes,,1,,,,,,1,2,,,,Yes,,Yes,Yes,,1910,,,uuid:1if8es64-257c-451x-39t6-p48622va068n752y845z-5630-p1v2-b3w7-8x843209g0k3,4,46,Rohit Kumar,0
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-034,24,6,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,7-12 months,,,,,1,,,,,,,,,,,,1,,,"Non-agricultural labor, incl construction and masonry",Daily wages,7-12 months,No,,,,,1,,,,,,,,Yes,,No,No,,6532,,,uuid:3xf5wk03-411r-454r-42q4-n97169wt312n483n135l-6449-r0t8-i7g6-6f588955f6c8,1,16,Priya Sharma,1
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-009,30,8,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,,,1,1,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,No,,1,,,,,,,,,,,Yes,,No,Yes,,3982,,,uuid:9ik3uz67-243u-384y-00e6-p36152ax909k171k255u-5933-x4t1-f9t3-0z113500u1a2,1,16,Priya Sharma,1
AN,AN043,Anantapur,AN043,Uravakonda,Kothacheruvu,AN043-029,30,6,,,1,,,,,,,,,,,,,,,,,Animal husbandry,Irreguluar,3-6 months,,1,,,,,,1,,,,,,,,,,,,Government employee (not teacher),Monthly,7-12 months,No,1,,,,,,,,4,,,,Yes,,Yes,Yes,,4968,,,uuid:6lh1ml39-090a-285w-09t0-l42895pr073w810j835q-6235-n5h6-o5r6-2d301118w6d9,1,16,Priya Sharma,1
GJ,GJ047,Gujarat,GJ047,Banaskantha,Deesa,GJ047-001,52,3,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,No,,,,,1,,,,,,,,Yes,,No,Yes,,3841,,,uuid:0yb4th89-162s-081m-52d4-l80101qu819c104m589n-9099-s2x3-z4e8-7w646738t9f0,3,36,Kavya Reddy,0
AN,AN002,Anantapur,AN002,Anantapur,Bukkarayasamudram,AN002-004,,0,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,0-2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3272,,,uuid:7ja5wc71-230n-957f-37l1-w21375cj244k644j846r-0994-q8g4-x5w8-8w496489c2q1,1,16,Priya Sharma,0
AN,AN002,Anantapur,AN002,Anantapur,Bukkarayasamudram,AN002-003,,0,,,,,1,,,,,,,,,,,,,,,"Non-agricultural labor, incl construction and masonry",Daily wages,0-2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4728,,,uuid:0ur3to71-184r-159l-70j6-m68512uv803n016z467d-0071-a4m8-r7f9-2k607847k2t2,1,16,Priya Sharma,0
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-008,30,8,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,Yes,,,,,1,,,,,,,,Yes,,No,Yes,,2070,,,uuid:4pm4ri75-814j-970n-95y9-t82985ew755z974o982l-3345-n5n0-w9w4-9w410494p9t9,4,46,Rohit Kumar,0
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-018,39,15,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Weekly,3-6 months,Yes,,,,,1,,,,,,,,Yes,,No,Yes,,5490,,,uuid:3nw8kt60-558l-843c-62i0-t55079hd988q798x808e-3409-l8i6-e9g3-1t305067d9w5,1,16,Priya Sharma,0
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-056,40,5,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,0-2 months,,,,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,No,,,,,1,,,,,,,,Yes,,No,Yes,,4792,,,uuid:5af5jr70-854i-643e-68j9-v23646uj723t545m010w-5435-p2h4-s4n5-0k960707k7e9,4,46,Rohit Kumar,1
UP,UP038,Uttar Pradesh,UP038,Mathura,Farah,UP038-031,46,13,,1,,1,,1,,,,,,,,,,,,,,Selfemployed in handicrafts or handloom,Daily wages,3-6 months,,1,1,,,1,,,,,,,,,,,,,,Selfemployed in handicrafts or handloom,Daily wages,3-6 months,Yes,,,,,1,,,,4,,,,Yes,,No,Yes,,6529,,,uuid:7bd5do02-041a-283a-01o0-y41538bc027a332l921t-4112-t4d3-k6z9-7g746676d2z5,4,46,Rohit Kumar,3
UP,UP053,Uttar Pradesh,UP053,Azamgarh,Mehnagar,UP053-037,45,5,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,Farming,Other,7-12 months,No,,1,,,,,,2,,,,,Yes,,Yes,Yes,,1949,,,uuid:3xb4cv68-314m-310b-79o3-e86066wi759f874l538l-2097-v5n3-g9i7-2d176410m1g1,4,46,Rohit Kumar,0
AN,AN016,Anantapur,AN016,Kalyandurg,Brahmasamudram,AN016-030,35,6,,1,1,1,,,,,,,,,,,,,,,,Labor on someone else's field,Daily wages,3-6 months,,1,,1,1,,,,,,,,,,,,,,,"Non-agricultural labor, incl construction and masonry",Daily wages,3-6 months,No,,,,,1,,,,,,,,Yes,,No,No,,5499,,,uuid:8un9vm90-840o-176m-76v4-j64329ju745u546s864n-2399-m5e9-x7u5-0o266572q5n4,1,16,Priya Sharma,3
