name,construct,severity,info
OS Execution,os.execle,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execlp,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execlpe,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execv,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execve,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execvp,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.execvpe,High,Direct OS function calls can have significant security implications and require careful review.
OS Execution,os.popen,High,Direct OS function calls can have significant security implications and require careful review.
Sys Calls,sys.call_tracing,Medium,Provides low-level access to interpreter execution; dangerous if exposed.
Sys Calls,sys.setprofile,Medium,Provides low-level access to interpreter execution; dangerous if exposed.
Sys Calls,sys.settrace,Medium,Provides low-level access to interpreter execution; dangerous if exposed.
OS Access,os.access,High,Direct OS function calls can have significant security implications and require careful review.
OS File Operations,os.write,Low,"Writing to unvalidated or unintended file descriptors can lead to data corruption, privilege escalation, or denial of service."
OS File Operations,os.writev,Low,"Writing to unvalidated or unintended file descriptors can lead to data corruption, privilege escalation, or denial of service."
OS Interfaces,os.forkpty,Low,Use of forkpty can be unsafe when used on MacOS.
OS File Operations,os.read,Low,"Reading from unvalidated file descriptors can lead to information disclosure."
Tempfile,tempfile.mktemp,Low,This function is deprecated because of race conditions that can lead to security vulnerabilities.
Marshal Usage,marshal.loads,High,This module is not secure and should not be used to deserialize data from untrusted sources.
Marshal Usage,marshal.load,High,This module is not secure and should not be used to deserialize data from untrusted sources.
Subprocess Usage,subprocess.call,High,Requires careful input validation to prevent command injection vulnerabilities.
Subprocess Usage,subprocess.check_call,High,Requires careful input validation to prevent command injection vulnerabilities.
Subprocess Usage,subprocess.Popen,Medium,Requires careful input validation to prevent command injection vulnerabilities.
Subprocess Usage,subprocess.run,Medium,Requires careful input validation to prevent command injection vulnerabilities.
Tarfile Extraction,tarfile.TarFile,High,Vulnerable to path traversal attacks if used with untrusted archives.
Base64 Encoding ,base64,Low,"Base64 encoding is not for security. It only visually hides data and provides no confidentiality. Often used to obfuscate malware in code."
XML-RPC Client,xmlrpc.client,High,Vulnerable to denial-of-service via decompression bombs.
XML-RPC Server,xmlrpc.server.SimpleXMLRPCServer,High,Vulnerable to denial-of-service via decompression bombs.
Cryptographically Unsafe Randomness,random.random,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.Random,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.randrange,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.randint,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.uniform,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.triangular,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.seed,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.randbytes,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Shelve Usage,shelve.open,High,"The `shelve` module uses `pickle` internally, making it unsafe for untrusted data."
Shelve Usage,shelve.DbfilenameShelf,High,"The `shelve` module uses `pickle` internally, making it unsafe for untrusted data."
Unsafe Deserialization: multiprocessing,connection.recv,High,"Uses pickle, which can execute arbitrary code when receiving data. "
Unsafe Deserialization: multiprocessing,multiprocessing.connection.Connection,High,Relies on pickle; dangerous with untrusted data. 
Zipfile Extraction,zipfile.ZipFile,High,Vulnerable to path traversal attacks if used with untrusted archives.
Zstandard (zstd) decompression,compression.zstd.open,High,Vulnerable to path traversal attacks if used with untrusted archives.
Zstandard (zstd) decompression,compression.zstd.decompress,High,Vulnerable to path traversal attacks if used with untrusted archives.
Gzip File Handling,gzip.open,Medium,Risk of decompression bombs or resource exhaustion with untrusted data.
BZ2 File Handling,bz2.open,Medium,Decompressing untrusted data can lead to resource exhaustion attacks. 
BZ2 File Handling,bz2.BZ2File,Medium,Decompressing untrusted data can lead to resource exhaustion attacks. 
LZMA File Handling,lzma.open,Medium,Risk of decompression bombs or resource exhaustion with untrusted data.
LZMA File Handling,lzma.LZMAFile,Medium,Risk of decompression bombs or resource exhaustion with untrusted data.
Shutil Extraction,shutil.unpack_archive,Medium,Untrusted archives can contain malicious paths or payloads.
Shutil Copying,shutil.copy,Medium,Files may be copied without authorization if paths are not validated.
Shutil Copying,shutil.copy2,Medium,Files may be copied without authorization if paths are not validated.
Shutil Copying,shutil.copytree,Medium,Files may be copied without authorization if paths are not validated.
Shutil Operations,shutil.chown,Medium,Changing file ownership can introduce vulnerabilities.
Shutil Removal,shutil.rmtree,Medium,Vulnerable to path traversal attacks if not used carefully.
HTTP Server (Base Handler),http.server.BaseHTTPRequestHandler,High,These modules are for development only and are not secure for production use.
HTTP Server,http.server.HTTPServer,High,These modules are for development only and are not secure for production use.
