# ucsc	assembly	genbank	refseq
chr1	1	CM000663.1	NC_000001.10
chr9	9	CM000671.1	NC_000009.11
chr9_gl000198_random	HSCHR9_RANDOM_CTG1	GL000198.1	NT_113914.1
chr9_gl000199_random	HSCHR9_RANDOM_CTG2	GL000199.1	NT_113916.2
chr9_gl000200_random	HSCHR9_RANDOM_CTG4	GL000200.1	NT_113915.1
chr9_gl000201_random	HSCHR9_RANDOM_CTG5	GL000201.1	NT_113911.1
chrM	MT	J01415.1	NC_001807.4
chrUn_gl000211	HSCHRUN_RANDOM_CTG1	GL000211.1	NT_113961.1
chrUn_gl000212	HSCHRUN_RANDOM_CTG2	GL000212.1	NT_113923.1
chrUn_gl000213	HSCHRUN_RANDOM_CTG3	GL000213.1	NT_167208.1
chrUn_gl000214	HSCHRUN_RANDOM_CTG4	GL000214.1	NT_167209.1
chrUn_gl000215	HSCHRUN_RANDOM_CTG5	GL000215.1	NT_167210.1
chrUn_gl000216	HSCHRUN_RANDOM_CTG6	GL000216.1	NT_167211.1
chrUn_gl000217	HSCHRUN_RANDOM_CTG7	GL000217.1	NT_167212.1
chrUn_gl000218	HSCHRUN_RANDOM_CTG9	GL000218.1	NT_113889.1
chrUn_gl000219	HSCHRUN_RANDOM_CTG10	GL000219.1	NT_167213.1
chrUn_gl000220	HSCHRUN_RANDOM_CTG11	GL000220.1	NT_167214.1
chrUn_gl000221	HSCHRUN_RANDOM_CTG13	GL000221.1	NT_167215.1
chrUn_gl000222	HSCHRUN_RANDOM_CTG14	GL000222.1	NT_167216.1
chrUn_gl000223	HSCHRUN_RANDOM_CTG15	GL000223.1	NT_167217.1
chrUn_gl000224	HSCHRUN_RANDOM_CTG16	GL000224.1	NT_167218.1
chrUn_gl000225	HSCHRUN_RANDOM_CTG17	GL000225.1	NT_167219.1
chrUn_gl000226	HSCHRUN_RANDOM_CTG19	GL000226.1	NT_167220.1
chrUn_gl000227	HSCHRUN_RANDOM_CTG20	GL000227.1	NT_167221.1
chrUn_gl000228	HSCHRUN_RANDOM_CTG21	GL000228.1	NT_167222.1
chrUn_gl000229	HSCHRUN_RANDOM_CTG22	GL000229.1	NT_167223.1
chrUn_gl000230	HSCHRUN_RANDOM_CTG23	GL000230.1	NT_167224.1
chrUn_gl000231	HSCHRUN_RANDOM_CTG24	GL000231.1	NT_167225.1
chrUn_gl000232	HSCHRUN_RANDOM_CTG25	GL000232.1	NT_167226.1
chrUn_gl000233	HSCHRUN_RANDOM_CTG26	GL000233.1	NT_167227.1
chrUn_gl000234	HSCHRUN_RANDOM_CTG27	GL000234.1	NT_167228.1
chrUn_gl000235	HSCHRUN_RANDOM_CTG28	GL000235.1	NT_167229.1
chrUn_gl000236	HSCHRUN_RANDOM_CTG29	GL000236.1	NT_167230.1
chrUn_gl000237	HSCHRUN_RANDOM_CTG30	GL000237.1	NT_167231.1
chrUn_gl000238	HSCHRUN_RANDOM_CTG31	GL000238.1	NT_167232.1
chrUn_gl000239	HSCHRUN_RANDOM_CTG32	GL000239.1	NT_167233.1
chrUn_gl000240	HSCHRUN_RANDOM_CTG33	GL000240.1	NT_167234.1
chrUn_gl000241	HSCHRUN_RANDOM_CTG34	GL000241.1	NT_167235.1
chrUn_gl000242	HSCHRUN_RANDOM_CTG35	GL000242.1	NT_167236.1
chrUn_gl000243	HSCHRUN_RANDOM_CTG36	GL000243.1	NT_167237.1
chrUn_gl000244	HSCHRUN_RANDOM_CTG37	GL000244.1	NT_167238.1
chrUn_gl000245	HSCHRUN_RANDOM_CTG38	GL000245.1	NT_167239.1
chrUn_gl000246	HSCHRUN_RANDOM_CTG39	GL000246.1	NT_167240.1
chrUn_gl000247	HSCHRUN_RANDOM_CTG40	GL000247.1	NT_167241.1
chrUn_gl000248	HSCHRUN_RANDOM_CTG41	GL000248.1	NT_167242.1
chrUn_gl000249	HSCHRUN_RANDOM_CTG42	GL000249.1	NT_167243.1
chrX	X	CM000685.1	NC_000023.10
chrY	Y	CM000686.1	NC_000024.9
