id,original_column_name,column_name,data_format,column_description,generated_comment,value_description,sql_table_id,pk_field,fk_field
2205,DOC,District Ownership Code,VARCHAR,The District Ownership Code (DOC) is the numerical code for the type of agency that has legal control of the school.,The District Ownership Code (DOC) is the numerical code for the type of agency that has legal control of the school.,"The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority.
•       00 - County Office of Education
•       02 – State Board of Education
•       03 – Statewide Benefit Charter
•       31 – State Special Schools
•       34 – Non-school Location*
•       52 – Elementary School District
•       54 – Unified School District
•       56 – High School District
•       98 – Regional Occupational Center/Program (ROC/P)
commonsense evidence:
*Only the California Education Authority has been included in the non-school location category.",286,,
2206,DOCType,The District Ownership Code Type,VARCHAR,The text description corresponding to the District Ownership Code (DOC).,The text description corresponding to the District Ownership Code (DOC).,(See text values in DOC field description above),286,,
2207,SOC,School Ownership Code,VARCHAR,"The School Ownership Code (SOC) defines categories of school settings or the grade levels served by the school. Values are: 08 - Preschool, 09 – Special Education Schools (Public), 60 - Elementary Schools (Public), 62 - Intermediate/Middle Schools (Public), 66 - High Schools (Public), 68 - Continuation High Schools.","The School Ownership Code (SOC) defines categories of school settings or the grade levels served by the school. Values are: 08 - Preschool, 09 – Special Education Schools (Public), 60 - Elementary Schools (Public), 62 - Intermediate/Middle Schools (Public), 66 - High Schools (Public), 68 - Continuation High Schools.","•      08 - Preschool      
•       09 – Special Education Schools (Public)
•      11 – Youth Authority Facilities (CEA)
•       13 – Opportunity Schools
•       14 – Juvenile Court Schools
•       15 – Other County or District Programs
•       31 – State Special Schools
•       60 – Elementary School (Public)
•       61 – Elementary School in 1 School District (Public)
•       62 – Intermediate/Middle Schools (Public)
•       63 – Alternative Schools of Choice
•       64 – Junior High Schools (Public)
•       65 – K-12 Schools (Public)
•       66 – High Schools (Public)
•       67 – High Schools in 1 School District (Public)
•       68 – Continuation High Schools
•       69 – District Community Day Schools
•       70 – Adult Education Centers
•       98 – Regional Occupational Center/Program (ROC/P)",286,,
2208,SOCType,School Ownership Code Type,VARCHAR,The text description corresponding to the School Ownership Code (SOC).,The text description corresponding to the School Ownership Code (SOC).,The School Ownership Code Type is the text description of the type of school.,286,,
2209,EdOpsCode,Education Option Code,VARCHAR,"The operational code for the type of educational operations. Values are: TRAD, CON, COMMDAY, ALTSOC, SPEC.","The operational code for the type of educational operations. Values are: TRAD, CON, COMMDAY, ALTSOC, SPEC.","
•      ALTSOC – Alternative School of Choice
•      COMM – County Community School
•       COMMDAY – Community Day School
•       CON – Continuation School
•       JUV – Juvenile Court School
•       OPP – Opportunity School
•       YTH – Youth Authority School
•       SSS – State Special School
•       SPEC – Special Education School
•       TRAD – Traditional
•       ROP – Regional Occupational Program
•       HOMHOS – Home and Hospital
•       SPECON – District Consortia Special Education School",286,,
2210,EdOpsName,Educational Option Name,VARCHAR,"The descriptive name for the educational option or program offered by the school, such as 'Traditional' or 'Continuation School'.","The descriptive name for the educational option or program offered by the school, such as 'Traditional' or 'Continuation School'.",The Educational Option Name is the long text description of the type of education being offered.,286,,
2211,EILCode,Educational Instruction Level Code,VARCHAR,"The code representing the Educational Instruction Level of the school. Possible values include: A, ELEM, HS, UG, INTMIDJR, ELEMHIGH.","The code representing the Educational Instruction Level of the school. Possible values include: A, ELEM, HS, UG, INTMIDJR, ELEMHIGH.","•       A – Adult
•       ELEM – Elementary
•       ELEMHIGH – Elementary-High Combination
•       HS – High School
•       INTMIDJR – Intermediate/Middle/Junior High
•       PS – Preschool
•       UG – Ungraded",286,,
2212,EILName,Educational Instruction Level Name ,VARCHAR,"The descriptive name for the Educational Instruction Level. Examples include 'Elementary', 'High School', and 'Ungraded'.","The descriptive name for the Educational Instruction Level. Examples include 'Elementary', 'High School', and 'Ungraded'.",The Educational Instruction Level Name is the long text description of the institution’s type relative to the grade range served.,286,,
2213,GSoffered,grade span offered,VARCHAR,"The range of grade levels offered by the school, such as 'K-5' or '9-12'.","The range of grade levels offered by the school, such as 'K-5' or '9-12'.","For example XYZ School might display the following data:

GSoffered = P–Adult

GSserved = K–12",286,,
2214,GSserved,grade span served.,VARCHAR,"The range of grade levels actually served by the school, which may differ from the grades offered.","The range of grade levels actually served by the school, which may differ from the grades offered.","commonsense evidence:

1.     Only K–12 enrollment is reported through CALPADS

2.     Note: Special programs at independent study, alternative education, and special education schools will often exceed the typical grade span for schools of that type",286,,
2215,Virtual,,VARCHAR,"Indicates whether the school provides virtual instruction. Possible values include: N, P, F.","Indicates whether the school provides virtual instruction. Possible values include: N, P, F.","The field is coded as follows:

·       F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual.

·       V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.

·       C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.

·       N = Not Virtual – The school does not offer any virtual instruction.

·       P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year.",286,,
2216,Magnet,,INT,"Indicates if the school is a magnet school. A value of 1 means it is a magnet school, and 0 means it is not.","Indicates if the school is a magnet school. A value of 1 means it is a magnet school, and 0 means it is not.","The field is coded as follows:

·       1 = Magnet - The school is a magnet school and/or offers a magnet program.

·       0 = Not Magnet - The school is not a magnet school and/or does not offer a magnet program.

commonsense evidence:

Note: Preschools and adult education centers do not contain a magnet school indicator.",286,,
2217,Latitude,,FLOAT,The geographical latitude coordinate of the school's location. This column stores real numbers for precise positioning.,The geographical latitude coordinate of the school's location. This column stores real numbers for precise positioning.,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the equator measured north to south.",286,,
2218,Longitude,,FLOAT,The geographical longitude coordinate of the school's location. This column stores real numbers for precise positioning.,The geographical longitude coordinate of the school's location. This column stores real numbers for precise positioning.,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the prime meridian (Greenwich, England) measured from west to east.",286,,
2219,AdmFName1,administrator's first name,VARCHAR,The first name of the primary administrator for the school.,The first name of the primary administrator for the school.,"The superintendent’s or principal’s first name.

commonsense evidence:

Only active and pending districts and schools will display administrator information, if applicable.",286,,
2220,AdmLName1,administrator's last name,VARCHAR,"The last name of the first administrative contact for the school, such as a superintendent or principal. This can be the last name of the superintendent or principal.","The last name of the first administrative contact for the school, such as a superintendent or principal. This can be the last name of the superintendent or principal.","The superintendent’s or principal’s last name.

commonsense evidence:
Only active and pending districts and schools will display administrator information, if applicable.",286,,
2221,AdmEmail1,administrator's email address,VARCHAR,"The email address of the first administrative contact for the school, such as a superintendent or principal. This can be the email of the superintendent or principal.","The email address of the first administrative contact for the school, such as a superintendent or principal. This can be the email of the superintendent or principal.","The superintendent’s or principal’s email address.

commonsense evidence:

Only active and pending districts and schools will display administrator information, if applicable.",286,,
2222,AdmFName2,,VARCHAR,The first name of the second administrative contact for the school. This often refers to a secondary administrative contact.,The first name of the second administrative contact for the school. This often refers to a secondary administrative contact.,SAME as 1,286,,
2223,AdmLName2,,VARCHAR,The last name of the second administrative contact for the school. This often refers to a secondary administrative contact.,The last name of the second administrative contact for the school. This often refers to a secondary administrative contact.,,286,,
2224,AdmEmail2,,VARCHAR,The email address of the second administrative contact for the school. This often refers to a secondary administrative contact.,The email address of the second administrative contact for the school. This often refers to a secondary administrative contact.,,286,,
2225,AdmFName3,,VARCHAR,The first name of the third administrative contact for the school. Not enough information to make a valid prediction,The first name of the third administrative contact for the school. Not enough information to make a valid prediction,not useful,286,,
2226,AdmLName3,,VARCHAR,The last name of the third administrative contact for the school. Not enough information to make a valid prediction,The last name of the third administrative contact for the school. Not enough information to make a valid prediction,not useful,286,,
2227,AdmEmail3,,VARCHAR,The email address of the third administrative contact for the school. Not enough information to make a valid prediction,The email address of the third administrative contact for the school. Not enough information to make a valid prediction,not useful,286,,
2228,LastUpdate,,DATE,The date when the record was last updated. This indicates the most recent modification date for the school's information.,The date when the record was last updated. This indicates the most recent modification date for the school's information.,when is this record updated last time,286,,
